Species,5th-pct,50th-pct,95th-pct
overall,0.0,0.004,0.267
1: possession of nociceptors,3.0,8.0,8.0
2: possession of integrative brain regions,0.0,0.0,5.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,5.0,10.0,10.0
4: behavioural response modulated by chemical compounds,6.0,11.0,16.0
5: evidence of motivational trade-offs,0.0,5.0,5.0
6: flexible self-protective behaviour,0.0,0.0,0.0
7: evidence of associative learning,5.0,11.0,16.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,0.0,5.0,5.0
9: evidence of affective states,0.0,5.0,10.0
